"","V1"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"30","1"
"31","1"
"32","1"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","1"
"49","1"
"50","1"
"51","1"
"52","1"
"53","1"
"54","1"
"55","1"
"56","1"
"57","1"
"58","1"
"59","1"
"60","1"
"61","1"
"62","1"
"63","1"
"64","1"
"65","1"
"66","1"
"67","1"
"68","1"
"69","1"
"70","1"
"71","1"
"72","1"
"73","1"
"74","1"
"75","1"
"76","1"
"77","1"
"78","1"
"79","1"
"80","1"
"81","1"
"82","1"
"83","1"
"84","1"
"85","1"
"86","1"
"87","1"
"88","1"
"89","1"
"90","1"
"91","1"
"92","1"
"93","1"
"94","1"
"95","1"
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","1"
"103","1"
"104","1"
"105","1"
"106","1"
"107","1"
"108","1"
"109","1"
"110","1"
"111","1"
"112","1"
"113","1"
"114","1"
"115","1"
"116","1"
"117","1"
"118","1"
"119","1"
"120","1"
"121","1"
"122","1"
"123","1"
"124","1"
"125","1"
"126","1"
"127","1"
"128","1"
"129","1"
"130","1"
"131","1"
"132","1"
"133","1"
"134","1"
"135","1"
"136","1"
"137","1"
"138","1"
"139","1"
"140","1"
"141","1"
"142","1"
"143","1"
"144","1"
"145","1"
"146","1"
"147","1"
"148","1"
"149","1"
"150","1"
"151","1"
"152","1"
"153","1"
"154","1"
"155","1"
"156","1"
"157","1"
"158","1"
"159","1"
"160","1"
"161","1"
"162","1"
"163","1"
"164","1"
"165","1"
"166","1"
"167","1"
"168","1"
"169","1"
"170","1"
"171","1"
"172","1"
"173","1"
"174","1"
"175","1"
"176","1"
"177","1"
"178","1"
"179","1"
"180","1"
"181","1"
"182","1"
"183","1"
"184","1"
"185","1"
"186","1"
"187","1"
"188","0"
"189","0"
"190","0"
"191","0"
"192","0"
"193","0"
"194","1"
"195","1"
"196","1"
"197","1"
"198","0"
"199","0"
"200","0"
"201","0"
"202","0"
"203","1"
"204","0"
"205","1"
"206","0"
"207","1"
"208","1"
"209","0"
"210","0"
"211","1"
"212","1"
"213","0"
"214","1"
"215","0"
"216","0"
"217","0"
"218","0"
"219","0"
"220","1"
"221","0"
"222","0"
"223","0"
"224","0"
"225","0"
"226","1"
"227","0"
"228","0"
"229","0"
"230","0"
"231","0"
"232","0"
"233","0"
"234","0"
"235","0"
"236","0"
"237","0"
"238","0"
"239","0"
"240","0"
"241","0"
"242","0"
"243","0"
"244","0"
"245","0"
"246","0"
"247","0"
"248","0"
"249","0"
"250","0"
"251","0"
"252","0"
"253","0"
"254","0"
"255","0"
"256","0"
"257","0"
"258","0"
"259","0"
"260","0"
"261","1"
"262","0"
"263","0"
"264","0"
"265","0"
"266","0"
"267","0"
"268","0"
"269","0"
"270","0"
"271","0"
"272","0"
"273","0"
"274","0"
"275","0"
"276","0"
"277","0"
"278","0"
"279","0"
"280","0"
"281","0"
"282","0"
"283","0"
"284","0"
"285","0"
"286","0"
"287","0"
"288","0"
"289","0"
"290","0"
"291","0"
"292","0"
"293","0"
"294","0"
"295","0"
"296","0"
"297","0"
"298","0"
"299","0"
"300","0"
"301","0"
"302","0"
"303","0"
"304","0"
"305","0"
"306","0"
"307","0"
"308","0"
"309","0"
"310","0"
"311","0"
"312","0"
"313","0"
"314","0"
"315","0"
"316","0"
"317","0"
"318","0"
"319","0"
