"","V1","V2"
"1",2,-1
"2",3,1
"3",4,2
"4",5,3
"5",6,4
"6",7,5
"7",8,6
"8",9,7
"9",10,8
"10",11,9
"11",12,10
"12",13,11
"13",14,12
"14",15,13
"15",16,14
"16",17,15
"17",18,16
"18",19,17
"19",20,18
"20",21,19
"21",22,20
"22",23,21
"23",24,22
"24",25,23
"25",26,24
"26",27,25
"27",28,26
"28",29,27
"29",30,28
"30",31,29
"31",32,30
"32",33,31
"33",34,32
"34",35,33
"35",36,34
"36",37,35
"37",38,36
"38",39,37
"39",40,38
"40",41,39
"41",42,40
"42",43,41
"43",44,42
"44",45,43
"45",46,44
"46",47,45
"47",48,46
"48",49,47
"49",50,48
"50",51,49
"51",52,50
"52",53,51
"53",54,52
"54",55,53
"55",56,54
"56",57,55
"57",58,56
"58",59,57
"59",-1,58
