"","V1"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","1"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","1"
"31","1"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","1"
"46","1"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","0"
"59","0"
"60","1"
"61","1"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","0"
"75","1"
"76","1"
"77","0"
"78","0"
"79","0"
"80","0"
"81","0"
"82","0"
"83","0"
"84","0"
"85","0"
"86","0"
"87","0"
"88","0"
"89","0"
"90","1"
"91","1"
"92","0"
"93","0"
"94","0"
"95","0"
"96","0"
"97","0"
"98","0"
"99","0"
"100","0"
"101","0"
"102","0"
"103","0"
"104","0"
"105","1"
"106","1"
"107","0"
"108","0"
"109","0"
"110","0"
"111","0"
"112","0"
"113","0"
"114","0"
"115","0"
"116","0"
"117","0"
"118","0"
"119","0"
"120","1"
"121","1"
"122","0"
"123","0"
"124","0"
"125","0"
"126","0"
"127","0"
"128","0"
"129","0"
"130","0"
"131","0"
"132","0"
"133","0"
"134","0"
"135","1"
"136","1"
"137","0"
"138","0"
"139","0"
"140","0"
"141","0"
"142","0"
"143","0"
"144","0"
"145","0"
"146","0"
"147","0"
"148","0"
"149","0"
"150","1"
"151","1"
"152","0"
"153","0"
"154","0"
"155","0"
"156","0"
"157","0"
"158","0"
"159","0"
"160","0"
"161","0"
"162","0"
"163","0"
"164","0"
"165","1"
"166","1"
"167","0"
"168","0"
"169","0"
"170","0"
"171","0"
"172","0"
"173","0"
"174","0"
"175","0"
"176","0"
"177","0"
"178","0"
"179","0"
"180","1"
"181","1"
"182","0"
"183","0"
"184","0"
"185","0"
"186","0"
"187","0"
"188","0"
"189","0"
"190","0"
"191","0"
"192","0"
"193","0"
"194","0"
"195","1"
"196","1"
"197","0"
"198","0"
"199","0"
"200","0"
"201","0"
"202","0"
"203","0"
"204","0"
"205","0"
"206","0"
"207","0"
"208","0"
"209","0"
"210","1"
"211","1"
"212","1"
"213","1"
"214","1"
"215","1"
"216","1"
"217","1"
"218","1"
"219","1"
"220","1"
"221","1"
"222","1"
"223","1"
"224","1"
"225","1"
